library,backend,formula,seconds
bambi,blackjax,"y ~ sex + race   + gp(hs_week, k=16, c=1.5, cov='exp_quad', scale=TRUE, iso=TRUE)",734.4701368340029
bambi,blackjax,"y ~ sex + race +  s(age, k=8, bs='bs')",428.7942060209971
bambi,blackjax,y ~ sex + race + scale(age) + scale(hs_week),9.241696166005568
bambi,blackjax,y ~ sex + scale(age) + scale(hs_week) + (1 | race),71.5979750000115
bambi,numpyro,"y ~ sex + race   + gp(hs_week, k=16, c=1.5, cov='exp_quad', scale=TRUE, iso=TRUE)",777.3714717090043
bambi,numpyro,"y ~ sex + race +  s(age, k=8, bs='bs')",439.73924206250376
bambi,numpyro,y ~ sex + race + scale(age) + scale(hs_week),9.523644291009987
bambi,numpyro,y ~ sex + scale(age) + scale(hs_week) + (1 | race),67.53630750000593
bambi,nutpie,y ~ sex + race + scale(age) + scale(hs_week),7.741469166008756
bambi,nutpie,y ~ sex + scale(age) + scale(hs_week) + (1 | race),28.552359791996423
brms,cmdstanr,"y ~ sex + race   + gp(hs_week, k=16, c=1.5, cov='exp_quad', scale=TRUE, iso=TRUE)",494.4084365835006
brms,cmdstanr,"y ~ sex + race +  s(age, k=8, bs='bs')",473.353329229496
brms,cmdstanr,y ~ sex + race + scale(age) + scale(hs_week),20.07103014599852
brms,cmdstanr,y ~ sex + scale(age) + scale(hs_week) + (1 | race),216.24240716600616
